,aac,bwt,fwt,afm,n_tasks,dataset,algo,datetime,dataset_name,agent_name,lr,batch_size,hidden_dim,nepoch,reg_coef,subset_size
10,23.419999999999998,-8.263157894736842,-0.31578947368421073,8.326315789473684,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,1e-05,64,100,50,100.0,
4,22.6,-7.7368421052631575,-0.20000000000000032,7.7894736842105265,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,1e-05,32,100,50,1000.0,
14,21.62,-0.24210526315789463,-0.6105263157894735,1.5473684210526315,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,1e-05,256,100,50,0.1,
9,21.61,-0.2631578947368419,-0.5999999999999999,1.5052631578947369,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,1e-05,256,100,50,1.0,
13,21.269999999999996,-0.5157894736842108,-0.5578947368421053,1.5473684210526322,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,1e-05,256,100,50,10.0,
12,21.04,-3.357894736842104,-0.6947368421052635,3.494736842105262,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,1e-05,64,100,50,1000.0,
3,21.02,-1.0000000000000002,-0.5894736842105265,1.673684210526316,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,1e-05,32,100,50,10000.0,
7,20.189999999999998,-0.11578947368421086,-0.8105263157894738,1.0947368421052635,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,1e-05,64,100,50,10000.0,
70,20.0,-3.1578947368421053,0.8736842105263157,5.505263157894737,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.1,256,100,50,10000.0,
56,20.0,-7.231578947368422,0.4210526315789472,9.25263157894737,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.1,32,100,50,100.0,
