,aac,bwt,fwt,afm,n_tasks,dataset,algo,datetime,dataset_name,agent_name,lr,batch_size,hiddens,epochs_per_task,gamma,dropout
314,48.0548288921181,-18.510049316202863,1.6552054368406501,18.510049316202863,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,10,0.9,0.1
219,48.027867464138,-17.12422798854414,0.43187017090375146,17.12422798854414,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,10,0.8,0.1
392,48.01909677834546,-18.774503543508093,0.6452560865649599,18.774503543508093,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,10,1.0,0.2
169,48.01540515594617,-15.93861154604829,1.8719303056926127,15.93861154604829,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,10,0.7000000000000001,0.0
257,48.00094265011754,-16.518176168717638,0.844675461523311,16.518176168717638,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,75,0.8,0.4
401,47.87758099516899,-18.079079895028837,1.4318688545598413,18.079079895028837,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,10,1.0,0.4
218,47.86269499456467,-19.51153260241202,1.1831213132791802,19.51153260241202,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,64,256,75,0.8,0.0
52,47.83954031797281,-6.552970066291113,0.7238691858684914,6.856345113693463,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,75,0.5,0.4
97,47.755514146509064,-13.29803656970753,0.686673238213729,13.29803656970753,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,10,0.6000000000000001,0.0
170,47.75072220638503,-21.962123498619704,0.3048199531806752,21.962123498619704,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,75,0.7000000000000001,0.0
98,47.68791827398373,-9.687184827723103,1.1240697397242236,9.799041650989324,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,10,0.6000000000000001,0.0
136,47.5466521970316,-5.386046650181478,1.497801527920305,6.011720868088705,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,10,0.6000000000000001,0.4
388,47.513844590476694,-22.025928576809818,1.6140003734868147,22.025928576809818,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,75,1.0,0.0
285,47.455541838364006,-23.437444385165108,0.38122421465705375,23.437444385165108,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,75,0.9,0.0
398,47.43118359662426,-18.25742434905125,1.235170832952794,18.25742434905125,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,10,1.0,0.30000000000000004
212,47.36767073488011,-23.178157354495497,0.021891851716571105,23.178157354495497,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,75,0.8,0.0
247,47.35607228927881,-17.005107479153974,0.6428089617553817,17.005107479153974,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,10,0.8,0.1
